========================================
ハードウェアショート診断ログ
========================================
日時: 2025/10/18 04:32:07
起動時間: 372.4秒

=== 基本統計 ===
内蔵キーボードブロック: 10762
Bluetoothキーボード通過: 0
Shift+Ctrlリマップ: 0

=== 受信間隔統計 ===
総信号数: 10632
最小間隔: 0ms
最大間隔: 7437ms
平均間隔: 34.85ms

=== ショート疑惑検出 ===
高速連続信号(<50ms): 10594回
診断: ハードウェアショートの可能性が高い

=== 信号履歴（最新50件） ===
No, 時刻(ms), 間隔(ms), デバイス
51, 435828, 47, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
52, 435859, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
53, 435890, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
54, 435921, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
55, 435953, 32, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
56, 435984, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
57, 436015, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
58, 436046, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
59, 436078, 32, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
60, 436109, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
61, 436156, 47, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
62, 436187, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
63, 436218, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
64, 436250, 32, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
65, 436296, 46, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
66, 436328, 32, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
67, 436359, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
68, 436390, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
69, 436421, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
