========================================
ハードウェアショート診断ログ
========================================
日時: 2025/10/18 22:16:25
起動時間: 122.2秒

=== 基本統計 ===
内蔵キーボードブロック: 832
Bluetoothキーボード通過: 2
Shift+Ctrlリマップ: 0

=== 受信間隔統計 ===
総信号数: 333
最小間隔: 15ms
最大間隔: 33047ms
平均間隔: 217.39ms

=== ショート疑惑検出 ===
高速連続信号(<50ms): 326回
診断: ハードウェアショートの可能性が高い

=== 信号履歴（最新50件） ===
No, 時刻(ms), 間隔(ms), デバイス
51, 6346781, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
52, 6346812, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
53, 6346843, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
54, 6346890, 47, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
55, 6346921, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
56, 6346968, 47, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
57, 6347000, 32, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
58, 6347031, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
59, 6347062, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
60, 6347093, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
61, 6347125, 32, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
62, 6347156, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
63, 6347187, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
64, 6347218, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
65, 6347250, 32, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
66, 6347281, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
67, 6347312, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
68, 6347343, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
69, 6347375, 32, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
70, 6347406, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
71, 6347437, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
72, 6347500, 63, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
73, 6347531, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
74, 6347562, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
75, 6347593, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
76, 6347625, 32, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
77, 6347656, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
78, 6347687, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
79, 6347718, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
80, 6347750, 32, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
81, 6347781, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
82, 6347828, 47, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
83, 6347859, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
84, 6347890, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
85, 6347921, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
86, 6347953, 32, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
87, 6347984, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
88, 6348015, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
89, 6348046, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
90, 6348078, 32, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
91, 6348109, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
92, 6348140, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
93, 6348187, 47, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
94, 6348218, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
95, 6348250, 32, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
96, 6348281, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
97, 6348312, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
98, 6350140, 1828, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
99, 6359796, 9656, \\?\HID#VID_046D&PID_C52B&REV_2411&MI_02&Qid_4003&WI_02&Class_0000001A&Col01#8&cc7c4ba&0&0000#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
100, 6392843, 33047, \\?\HID#VID_046D&PID_C52B&REV_2411&MI_02&Qid_4003&WI_02&Class_0000001A&Col01#8&cc7c4ba&0&0000#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}

=== 検出デバイス ===
\\?\HID#VID_046D&PID_C52B&REV_2411&MI_02&Qid_4003&WI_02&Class_0000001A&Col01#8&cc7c4ba&0&0000#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
\\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
