========================================
ハードウェアショート診断ログ
========================================
日時: 2025/10/18 14:25:31
起動時間: 372.7秒

=== 基本統計 ===
内蔵キーボードブロック: 827
Bluetoothキーボード通過: 0
Shift+Ctrlリマップ: 0

=== 受信間隔統計 ===
総信号数: 826
最小間隔: 0ms
最大間隔: 140ms
平均間隔: 33.10ms

=== ショート疑惑検出 ===
高速連続信号(<50ms): 823回
診断: ハードウェアショートの可能性が高い

=== 信号履歴（最新50件） ===
No, 時刻(ms), 間隔(ms), デバイス
51, 35906984, 31, 
52, 35907015, 31, 
53, 35907046, 31, 
54, 35907078, 32, 
55, 35907109, 31, 
56, 35907156, 47, 
57, 35907171, 15, 
58, 35907203, 32, 
59, 35907250, 47, 
60, 35907281, 31, 
61, 35907312, 31, 
62, 35907343, 31, 
63, 35907375, 32, 
64, 35907421, 46, 
65, 35907453, 32, 
66, 35907484, 31, 
67, 35907515, 31, 
68, 35907546, 31, 
69, 35907578, 32, 
70, 35907609, 31, 
71, 35907656, 47, 
72, 35907671, 15, 
73, 35907718, 47, 
74, 35907734, 16, 
75, 35907765, 31, 
76, 35907796, 31, 
77, 35907843, 47, 
78, 35907875, 32, 
79, 35907906, 31, 
80, 35907953, 47, 
81, 35907984, 31, 
82, 35908015, 31, 
83, 35908046, 31, 
84, 35908078, 32, 
85, 35908109, 31, 
86, 35908140, 31, 
87, 35908171, 31, 
88, 35908203, 32, 
89, 35908234, 31, 
90, 35908265, 31, 
91, 35908312, 47, 
92, 35908328, 16, 
93, 35908375, 47, 
94, 35908406, 31, 
95, 35908437, 31, 
96, 35908468, 31, 
97, 35908500, 32, 
98, 35908531, 31, 
99, 35908578, 47, 
100, 35908609, 31, 

=== 検出デバイス ===
\\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
