========================================
ハードウェアショート診断ログ
========================================
日時: 2025/10/18 19:44:33
起動時間: 130.1秒

=== 基本統計 ===
内蔵キーボードブロック: 2095
Bluetoothキーボード通過: 26
Shift+Ctrlリマップ: 0

=== 受信間隔統計 ===
総信号数: 990
最小間隔: 15ms
最大間隔: 34110ms
平均間隔: 95.11ms

=== ショート疑惑検出 ===
高速連続信号(<50ms): 972回
診断: ハードウェアショートの可能性が高い

=== 信号履歴（最新50件） ===
No, 時刻(ms), 間隔(ms), デバイス
51, 132812, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
52, 132843, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
53, 132875, 32, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
54, 132906, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
55, 132937, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
56, 132984, 47, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
57, 133015, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
58, 133046, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
59, 133078, 32, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
60, 133109, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
61, 133140, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
62, 133171, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
63, 133218, 47, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
64, 133250, 32, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
65, 133281, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
66, 133312, 31, \\?\ACPI#MSNB1001#4&3ad48485&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
